,customer,response,coverage,education,effective_to_date,employment_status,gender,location_code,renew_offer_type,vehicle_size,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,day,month,year,claim_amount_bin,state_Arizona,state_California,state_Nevada,state_Oregon,state_Washington,marital_status_Divorced,marital_status_Married,marital_status_Single,policy_type_Corporate,policy_type_Personal,policy_type_Special,policy_number_L1,policy_number_L2,policy_number_L3,sales_channel_Agent,sales_channel_Branch,sales_channel_Call Center,sales_channel_Web,vehicle_class_Four-Door Car,vehicle_class_Luxury Car,vehicle_class_Luxury SUV,vehicle_class_SUV,vehicle_class_Sports Car,vehicle_class_Two-Door Car,coverage_ordinal,employment_status_ordinal,location_code_ordinal,vehicle_size_ordinal
0,BU79786,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Offer1,Medsize,2763.519279,56274,69,32,5,0,1,384.811147,24,2,2011,Q3,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,0,2,1,1
2,AI49188,No,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Offer1,Medsize,12887.43165,48767,108,18,38,0,2,566.472247,19,2,2011,Upper Bound,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,2,2,1,1
3,WW63253,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Offer1,Medsize,7645.861827,0,106,18,65,0,7,529.881344,20,1,2011,Q3,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0,0,1,1
4,HB64268,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Offer1,Medsize,2813.692575,43836,73,12,44,0,1,138.130879,3,2,2011,Lower Bound,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0,2,0,1
5,OC83172,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Offer2,Medsize,8256.2978,62902,69,14,94,0,2,159.383042,25,1,2011,Lower Bound,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0,2,0,1
6,XZ87318,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Offer1,Medsize,5380.898636,55350,67,0,13,0,9,321.6,24,2,2011,Q1,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,0,2,1,1
7,CF85061,No,Premium,Master,2011-01-18,Unemployed,M,Urban,Offer1,Medsize,7216.100311,0,101,0,68,0,4,363.02968,18,1,2011,Q1,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,2,0,2,1
8,DY87989,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Offer1,Medsize,24127.50402,14072,71,13,3,0,2,511.2,26,1,2011,Q3,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,0,0,1,1
9,BQ94931,No,Extended,College,2011-02-17,Employed,F,Urban,Offer2,Medsize,7388.178085,28812,93,17,7,0,8,425.527834,17,2,2011,Q3,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,1,2,2,1
10,SX51350,No,Basic,College,2011-02-21,Unemployed,M,Suburban,Offer1,Small,4738.992022,0,67,23,5,0,3,482.4,21,2,2011,Q3,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,0,0,1,0
11,VQ65197,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Offer2,Medsize,8197.197078,0,110,27,87,0,3,528.0,6,1,2011,Q3,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0,0,1,1
12,DP39365,No,Premium,Master,2011-02-06,Employed,M,Urban,Offer2,Medsize,8798.797003,77026,110,9,82,2,3,472.029737,6,2,2011,Q3,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,2,2,2,1
13,SJ95423,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Offer2,Medsize,8819.018934,99845,110,23,25,1,8,528.0,10,1,2011,Q3,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,0,2,1,1
