,customer,response,coverage,education,effective_to_date,employment_status,gender,location_code,renew_offer_type,vehicle_size,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,day,month,year,claim_amount_bin,state_Arizona,state_California,state_Nevada,state_Oregon,state_Washington,marital_status_Divorced,marital_status_Married,marital_status_Single,policy_type_Corporate,policy_type_Personal,policy_type_Special,policy_number_L1,policy_number_L2,policy_number_L3,sales_channel_Agent,sales_channel_Branch,sales_channel_Call Center,sales_channel_Web,vehicle_class_Four-Door Car,vehicle_class_Luxury Car,vehicle_class_Luxury SUV,vehicle_class_SUV,vehicle_class_Sports Car,vehicle_class_Two-Door Car,coverage_ordinal,employment_status_ordinal,location_code_ordinal,vehicle_size_ordinal
1,QZ44356,No,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Offer3,Medsize,6979.535903,0,94,13,42,0,8,1131.464935,31,1,2011,Outliers,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,1,0,1,1
73,HB20453,No,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Offer1,Medsize,6781.270203,0,104,30,3,1,5,982.399613,4,2,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,0,0,1,1
135,MS41162,No,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Offer1,Medsize,4022.963529,0,117,6,1,0,1,975.107098,26,1,2011,Outliers,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0,0,1,1
142,LP84436,No,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Offer3,Medsize,9047.119209,0,127,30,11,0,6,1087.995426,21,1,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1,0,1,1
181,KC11055,No,Extended,Bachelor,2011-01-24,Employed,F,Suburban,Offer3,Medsize,16936.27147,39411,217,4,29,2,4,1122.658899,24,1,2011,Outliers,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,1,2,1,1
196,AZ62651,No,Premium,High School or Below,2011-02-17,Employed,M,Suburban,Offer4,Medsize,9951.707743,56855,255,12,1,0,1,1836.0,17,2,2011,Outliers,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,2,2,1,1
203,ZX64745,No,Basic,College,2011-01-18,Unemployed,M,Suburban,Offer1,Medsize,7923.136624,0,113,20,1,0,7,1124.427734,18,1,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0,0,1,1
205,TS11219,No,Basic,College,2011-01-02,Unemployed,M,Suburban,Offer1,Medsize,12067.45599,0,116,14,35,0,2,1284.093173,2,1,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0,0,1,1
248,FO35655,No,Extended,Bachelor,2011-01-14,Unemployed,M,Suburban,Offer1,Medsize,8672.229719,0,245,34,83,0,1,2345.413441,14,1,2011,Outliers,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,1,0,1,1
315,HH30454,No,Premium,Bachelor,2011-02-23,Unemployed,M,Suburban,Offer3,Medsize,32654.8383,0,153,7,75,0,2,1101.6,23,2,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,2,0,1,1
357,JL19416,No,Premium,High School or Below,2011-01-27,Unemployed,F,Suburban,Offer1,Medsize,5884.308607,0,161,29,1,0,1,1159.2,27,1,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,2,0,1,1
362,RO26085,No,Basic,Bachelor,2011-02-04,Unemployed,F,Suburban,Offer2,Large,12101.20884,0,112,28,30,0,2,1252.406235,4,2,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0,0,1,2
377,FG16766,No,Premium,Bachelor,2011-01-24,Employed,F,Suburban,Offer4,Medsize,6837.932624,51859,171,0,21,0,1,1003.160633,24,1,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2,2,1,1
418,EM29359,No,Basic,College,2011-02-03,Medical Leave,M,Suburban,Offer2,Large,7126.596501,17483,183,24,63,0,1,1317.6,3,2,2011,Outliers,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,0,0,1,2
422,JS36322,No,Extended,High School or Below,2011-01-19,Unemployed,M,Suburban,Offer1,Small,8901.678357,0,136,14,69,1,8,1090.86434,19,1,2011,Outliers,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,1,0,1,0
435,TE35785,No,Basic,Doctor,2011-02-07,Unemployed,M,Suburban,Offer1,Large,6948.422239,0,196,0,73,2,1,1337.063487,7,2,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,0,0,1,2
485,XD66024,No,Extended,College,2011-01-27,Unemployed,F,Suburban,Offer3,Medsize,5936.011773,0,84,31,25,0,3,980.169081,27,1,2011,Outliers,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,1,0,1,1
496,JC11405,Yes,Premium,High School or Below,2011-02-08,Employed,M,Suburban,Offer1,Medsize,10963.95723,55687,276,33,91,0,1,1324.8,8,2,2011,Outliers,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,2,2,1,1
502,PX17116,No,Basic,College,2011-01-20,Unemployed,M,Suburban,Offer1,Medsize,3623.454198,0,111,6,24,2,1,1171.93117,20,1,2011,Outliers,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0,0,1,1
510,EX28656,No,Premium,College,2011-02-10,Employed,F,Suburban,Offer2,Medsize,9830.337629,25965,253,15,59,0,1,1214.4,10,2,2011,Outliers,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,2,2,1,1
514,RM41745,No,Premium,High School or Below,2011-01-18,Unemployed,F,Suburban,Offer1,Medsize,8278.786492,0,110,20,66,0,7,1002.782553,18,1,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,2,0,1,1
519,FJ54907,No,Basic,College,2011-01-09,Employed,F,Suburban,Offer2,Medsize,7180.971028,42303,180,24,66,0,1,1210.920949,9,1,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0,2,1,1
522,ZZ97035,No,Extended,College,2011-02-01,Unemployed,M,Suburban,Offer1,Small,20714.94043,0,203,20,66,0,2,2027.724442,1,2,2011,Outliers,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1,0,1,0
541,AW77988,No,Basic,High School or Below,2011-01-06,Disabled,M,Suburban,Offer1,Medsize,35850.59935,17588,192,24,92,0,2,1382.4,6,1,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,0,0,1,1
581,PR53785,No,Basic,High School or Below,2011-02-22,Unemployed,F,Suburban,Offer1,Small,7457.237794,0,198,18,55,1,1,1577.674417,22,2,2011,Outliers,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0,0,1,0
606,XW96958,No,Premium,High School or Below,2011-02-20,Unemployed,M,Suburban,Offer1,Large,7573.345057,0,110,6,37,0,6,1193.036154,20,2,2011,Outliers,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,2,0,1,2
633,UY18770,Yes,Premium,Bachelor,2011-01-05,Retired,F,Suburban,Offer1,Medsize,10179.71704,14290,271,20,40,0,1,1300.8,5,1,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,2,1,1,1
673,ZC32510,No,Premium,High School or Below,2011-02-22,Employed,M,Suburban,Offer3,Small,9339.341599,69442,118,26,6,3,3,1265.570302,22,2,2011,Outliers,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2,2,1,0
713,OV54878,No,Premium,Bachelor,2011-02-28,Unemployed,M,Suburban,Offer4,Medsize,4639.035171,0,142,5,87,0,1,1022.4,28,2,2011,Outliers,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,2,0,1,1
755,QW47320,Yes,Premium,Bachelor,2011-01-05,Retired,F,Suburban,Offer1,Medsize,10179.71704,14290,271,20,40,0,1,1300.8,5,1,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,2,1,1,1
757,ON59472,No,Extended,High School or Below,2011-02-26,Medical Leave,M,Suburban,Offer1,Large,15771.39342,21921,206,14,44,0,3,1254.137899,26,2,2011,Outliers,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,1,0,1,2
784,QD38160,No,Extended,College,2011-01-24,Unemployed,M,Suburban,Offer1,Medsize,4471.778239,0,135,8,14,0,1,972.0,24,1,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,1,0,1,1
810,KW56110,No,Basic,Bachelor,2011-02-28,Unemployed,M,Suburban,Offer1,Medsize,18361.55525,0,182,3,56,0,2,1310.4,28,2,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,0,0,1,1
817,QW33258,No,Basic,Bachelor,2011-01-22,Employed,M,Suburban,Offer2,Medsize,7082.830426,53310,189,26,33,3,1,1360.8,22,1,2011,Outliers,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0,2,1,1
832,YX89016,No,Premium,College,2011-02-17,Employed,M,Suburban,Offer2,Small,34931.00171,35005,295,14,46,0,2,1416.0,17,2,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,2,2,1,0
840,PN98247,Yes,Extended,College,2011-01-14,Employed,M,Suburban,Offer2,Small,7840.165778,58414,210,7,24,2,1,1008.0,14,1,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,1,2,1,0
888,BZ65376,No,Extended,Bachelor,2011-01-18,Medical Leave,M,Suburban,Offer2,Medsize,8581.278701,27689,239,0,72,2,1,2893.239678,18,1,2011,Outliers,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,1
891,KJ87930,No,Basic,Bachelor,2011-02-06,Unemployed,F,Suburban,Offer1,Medsize,3886.504807,0,112,13,59,0,1,1185.988301,6,2,2011,Outliers,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0,0,1,1
926,NT59303,No,Premium,College,2011-01-17,Employed,F,Suburban,Offer2,Large,10115.44622,63528,256,15,23,0,1,1228.8,17,1,2011,Outliers,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,2,2,1,2
944,ZJ73220,No,Basic,College,2011-01-24,Unemployed,F,Suburban,Offer1,Medsize,13092.58578,0,188,35,82,0,7,1353.6,24,1,2011,Outliers,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0,0,1,1
977,TC88986,Yes,Premium,High School or Below,2011-01-26,Unemployed,M,Suburban,Offer2,Medsize,5619.689084,0,153,25,5,0,1,1027.000029,26,1,2011,Outliers,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,2,0,1,1
1005,VL37375,No,Extended,Bachelor,2011-02-25,Unemployed,M,Suburban,Offer1,Small,6185.09653,0,92,8,28,0,3,1027.177255,25,2,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,1,0,1,0
1008,AM97901,No,Premium,College,2011-01-23,Employed,F,Suburban,Offer1,Medsize,22986.15393,84831,192,13,37,0,2,1336.931716,23,1,2011,Outliers,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,2,2,1,1
1020,CH85444,No,Premium,College,2011-01-25,Disabled,M,Suburban,Offer1,Small,4145.711862,25943,110,26,83,0,1,1067.333126,25,1,2011,Outliers,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,2,0,1,0
1046,RG30482,No,Premium,College,2011-02-03,Unemployed,F,Suburban,Offer1,Medsize,13668.35528,0,197,5,50,0,9,1418.4,3,2,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2,0,1,1
1071,UH35128,Yes,Extended,College,2011-02-13,Employed,F,Suburban,Offer1,Small,25807.063,71210,214,8,89,1,2,1027.2,13,2,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1,2,1,0
1109,DT77901,Yes,Premium,Bachelor,2011-01-05,Retired,F,Suburban,Offer1,Medsize,10179.71704,14290,271,20,40,0,1,1300.8,5,1,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,2,1,1,1
1119,NF35573,No,Basic,High School or Below,2011-01-03,Unemployed,M,Suburban,Offer2,Medsize,11039.31617,0,103,4,67,0,2,1149.203884,3,1,2011,Outliers,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,0,0,1,1
1133,VL84149,Yes,Extended,College,2011-02-13,Employed,F,Suburban,Offer1,Small,25807.063,71210,214,8,89,1,2,1027.2,13,2,2011,Outliers,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1,2,1,0
1134,JX19907,No,Premium,Bachelor,2011-02-04,Unemployed,M,Suburban,Offer1,Medsize,3798.32165,0,107,34,70,1,1,1261.943541,4,2,2011,Outliers,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,2,0,1,1
1145,PZ89632,No,Extended,High School or Below,2011-01-25,Unemployed,F,Suburban,Offer3,Medsize,4735.184474,0,134,22,68,0,1,964.8,25,1,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,1,0,1,1
1200,UP29839,Yes,Extended,Master,2011-02-20,Employed,F,Suburban,Offer2,Medsize,19160.98994,22705,239,19,59,0,7,1294.700423,20,2,2011,Outliers,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,1,2,1,1
1240,LG64797,No,Extended,College,2011-02-18,Employed,F,Suburban,Offer1,Medsize,17723.76398,25771,222,21,58,0,4,1253.984948,18,2,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,1,2,1,1
